scenario,algorithm,temperature,annealing,solved,iterations,cost,time
23,F-CBS Anneal (T=2.0→0),2.0,True,True,2,56.0,0.0025975704193115234
23,F-CBS Anneal (T=5.0→0),5.0,True,True,2,56.0,0.0023179054260253906
23,F-CBS Anneal (T=10.0→0),10.0,True,True,2,56.0,0.0018715858459472656
23,F-CBS Anneal (T=12.0→0),12.0,True,True,2,56.0,0.0015764236450195312
24,CBS,,False,True,18,101.0,0.029529571533203125
24,F-CBS (T=1.0),1.0,False,True,4,101.0,0.008952856063842773
24,F-CBS (T=2.0),2.0,False,True,4,101.0,0.009570598602294922
24,F-CBS (T=5.0),5.0,False,True,4,101.0,0.008427619934082031
24,F-CBS (T=10.0),10.0,False,True,4,101.0,0.010169506072998047
24,F-CBS (T=12.0),12.0,False,True,4,101.0,0.008855581283569336
24,F-CBS Anneal (T=1.0→0),1.0,True,True,4,101.0,0.007624149322509766
24,F-CBS Anneal (T=2.0→0),2.0,True,True,4,101.0,0.006642818450927734
24,F-CBS Anneal (T=5.0→0),5.0,True,True,4,101.0,0.0065958499908447266
24,F-CBS Anneal (T=10.0→0),10.0,True,True,4,101.0,0.009075403213500977
24,F-CBS Anneal (T=12.0→0),12.0,True,True,4,101.0,0.008015871047973633
25,CBS,,False,True,15,75.0,0.012634515762329102
25,F-CBS (T=1.0),1.0,False,False,1024,inf,0.7401552200317383
25,F-CBS (T=2.0),2.0,False,False,1024,inf,0.7113957405090332
25,F-CBS (T=5.0),5.0,False,False,1024,inf,0.684018611907959
25,F-CBS (T=10.0),10.0,False,False,1024,inf,0.6841318607330322
25,F-CBS (T=12.0),12.0,False,False,1024,inf,0.74403977394104
25,F-CBS Anneal (T=1.0→0),1.0,True,True,12,75.0,0.007872819900512695
25,F-CBS Anneal (T=2.0→0),2.0,True,True,12,75.0,0.00832676887512207
25,F-CBS Anneal (T=5.0→0),5.0,True,True,12,75.0,0.007586956024169922
25,F-CBS Anneal (T=10.0→0),10.0,True,True,12,75.0,0.00745081901550293
25,F-CBS Anneal (T=12.0→0),12.0,True,True,12,75.0,0.007416248321533203
26,CBS,,False,False,1024,inf,1.6088125705718994
26,F-CBS (T=1.0),1.0,False,False,1024,inf,0.6979436874389648
26,F-CBS (T=2.0),2.0,False,False,1024,inf,0.6372604370117188
26,F-CBS (T=5.0),5.0,False,False,1024,inf,0.7225980758666992
26,F-CBS (T=10.0),10.0,False,False,1024,inf,0.7078759670257568
26,F-CBS (T=12.0),12.0,False,False,1024,inf,0.7417593002319336
26,F-CBS Anneal (T=1.0→0),1.0,True,False,1024,inf,1.6664233207702637
26,F-CBS Anneal (T=2.0→0),2.0,True,False,1024,inf,1.6123523712158203
26,F-CBS Anneal (T=5.0→0),5.0,True,False,1024,inf,1.5800440311431885
26,F-CBS Anneal (T=10.0→0),10.0,True,False,1024,inf,1.634364366531372
26,F-CBS Anneal (T=12.0→0),12.0,True,False,1024,inf,1.5822350978851318
27,CBS,,False,False,1024,inf,0.8059191703796387
27,F-CBS (T=1.0),1.0,False,False,1024,inf,1.1086323261260986
27,F-CBS (T=2.0),2.0,False,False,1024,inf,0.8445954322814941
27,F-CBS (T=5.0),5.0,False,False,1024,inf,1.1076109409332275
27,F-CBS (T=10.0),10.0,False,False,1024,inf,1.0979983806610107
27,F-CBS (T=12.0),12.0,False,False,1024,inf,1.0870206356048584
27,F-CBS Anneal (T=1.0→0),1.0,True,False,1024,inf,0.8736300468444824
27,F-CBS Anneal (T=2.0→0),2.0,True,False,1024,inf,0.8881330490112305
27,F-CBS Anneal (T=5.0→0),5.0,True,True,513,111.0,0.45009398460388184
27,F-CBS Anneal (T=10.0→0),10.0,True,True,513,111.0,0.444838285446167
27,F-CBS Anneal (T=12.0→0),12.0,True,True,513,111.0,0.47488832473754883
28,CBS,,False,False,1024,inf,9.427139282226562
28,F-CBS (T=1.0),1.0,False,False,1024,inf,9.801283359527588
28,F-CBS (T=2.0),2.0,False,False,1024,inf,9.838537454605103
28,F-CBS (T=5.0),5.0,False,False,1024,inf,9.966250896453857
28,F-CBS (T=10.0),10.0,False,False,1024,inf,10.133745670318604
28,F-CBS (T=12.0),12.0,False,False,1024,inf,10.250020980834961
28,F-CBS Anneal (T=1.0→0),1.0,True,False,1024,inf,9.599538326263428
28,F-CBS Anneal (T=2.0→0),2.0,True,False,1024,inf,9.54505968093872
28,F-CBS Anneal (T=5.0→0),5.0,True,False,1024,inf,11.243334531784058
28,F-CBS Anneal (T=10.0→0),10.0,True,False,1024,inf,11.86287784576416
28,F-CBS Anneal (T=12.0→0),12.0,True,False,1024,inf,11.999656677246094
29,CBS,,False,False,1024,inf,0.934882640838623
29,F-CBS (T=1.0),1.0,False,False,1024,inf,0.8711907863616943
29,F-CBS (T=2.0),2.0,False,False,1024,inf,0.7661068439483643
29,F-CBS (T=5.0),5.0,False,False,1024,inf,0.7731523513793945
29,F-CBS (T=10.0),10.0,False,False,1024,inf,0.7382807731628418
29,F-CBS (T=12.0),12.0,False,False,1024,inf,0.7250902652740479
29,F-CBS Anneal (T=1.0→0),1.0,True,False,1024,inf,0.8169362545013428
29,F-CBS Anneal (T=2.0→0),2.0,True,False,1024,inf,0.7548949718475342
29,F-CBS Anneal (T=5.0→0),5.0,True,False,1024,inf,0.7134754657745361
29,F-CBS Anneal (T=10.0→0),10.0,True,False,1024,inf,0.7265851497650146
29,F-CBS Anneal (T=12.0→0),12.0,True,False,1024,inf,0.7680296897888184
30,CBS,,False,True,48,89.0,0.0354914665222168
30,F-CBS (T=1.0),1.0,False,True,25,89.0,0.01734447479248047
30,F-CBS (T=2.0),2.0,False,True,32,89.0,0.02205491065979004
30,F-CBS (T=5.0),5.0,False,True,15,90.0,0.010898590087890625
30,F-CBS (T=10.0),10.0,False,True,15,90.0,0.011272668838500977
30,F-CBS (T=12.0),12.0,False,True,15,90.0,0.01105642318725586
30,F-CBS Anneal (T=1.0→0),1.0,True,True,14,89.0,0.010219573974609375
30,F-CBS Anneal (T=2.0→0),2.0,True,True,14,89.0,0.010091543197631836
30,F-CBS Anneal (T=5.0→0),5.0,True,True,14,89.0,0.010137081146240234
30,F-CBS Anneal (T=10.0→0),10.0,True,True,14,89.0,0.010127544403076172
30,F-CBS Anneal (T=12.0→0),12.0,True,True,14,89.0,0.010141372680664062
31,CBS,,False,False,1024,inf,0.5761029720306396
31,F-CBS (T=1.0),1.0,False,False,1024,inf,0.6430230140686035
31,F-CBS (T=2.0),2.0,False,False,1024,inf,0.5776751041412354
31,F-CBS (T=5.0),5.0,False,False,1024,inf,0.5491878986358643
31,F-CBS (T=10.0),10.0,False,False,1024,inf,0.6016223430633545
31,F-CBS (T=12.0),12.0,False,False,1024,inf,0.5807411670684814
31,F-CBS Anneal (T=1.0→0),1.0,True,False,1024,inf,0.5974259376525879
31,F-CBS Anneal (T=2.0→0),2.0,True,False,1024,inf,0.6034529209136963
31,F-CBS Anneal (T=5.0→0),5.0,True,False,1024,inf,0.6090049743652344
31,F-CBS Anneal (T=10.0→0),10.0,True,False,1024,inf,0.5851571559906006
31,F-CBS Anneal (T=12.0→0),12.0,True,False,1024,inf,0.6243445873260498
32,CBS,,False,False,1024,inf,0.5642900466918945
32,F-CBS (T=1.0),1.0,False,True,7,80.0,0.005568742752075195
32,F-CBS (T=2.0),2.0,False,True,6,80.0,0.0051310062408447266
32,F-CBS (T=5.0),5.0,False,True,6,80.0,0.005006074905395508
32,F-CBS (T=10.0),10.0,False,True,6,80.0,0.004974842071533203
